fecha;vel viento;dir viento;pm10;pm2.5;no;no2;nox;co;o3
1/01/2023 1:00;1,2;242;31,4;23;0,1;2,1;2,2;0,5;17,4
1/01/2023 2:00;1,8;272;43;39;0,5;1,4;2;0,5;17,8
1/01/2023 3:00;1,8;274;45;26;0,6;2,8;3,4;0,5;15,4
1/01/2023 4:00;1,3;255;36,5;35;0,6;2,1;2,7;0,5;14,7
1/01/2023 5:00;1,3;249;32;25;0,4;2,5;2,9;0,5;11,4
1/01/2023 6:00;0,6;210;39,4;27;0,3;3,8;4,1;0,5;6,5
1/01/2023 7:00;0,5;155;43,3;29;1,7;4,2;5,9;0,6;7,1
1/01/2023 8:00;1,4;49;32,3;24;3;0,9;3,9;0,6;15,3
1/01/2023 9:00;1,4;307;31,2;27;0;0;0;0,4;27,2
1/01/2023 10:00;0,9;4;23,7;21;0;0;0;0,4;31,2
1/01/2023 11:00;2,2;63;17,9;15;0;0;0;0,3;31,3
1/01/2023 12:00;2;96;13,9;13;0;0;0;0,2;33,1
1/01/2023 13:00;2,2;77;11,2;9;0;0;0;0,2;32,7
1/01/2023 14:00;3,1;270;18;12;0;0;0;0,4;37,3
1/01/2023 15:00;4,4;274;21,4;17;0;0;0;0,5;44,1
1/01/2023 16:00;5;255;30,2;26;0;0;0;0,5;36,6
1/01/2023 17:00;2,6;229;25;25;0;0;0;0,5;32,7
1/01/2023 18:00;2,7;233;25,5;25;0;0;0;0,5;23,9
1/01/2023 19:00;1,9;233;18,6;18;0,9;1,6;2,5;0,6;16,7
1/01/2023 20:00;1,9;257;17;17;1,2;3,5;4,7;0,6;11,6
1/01/2023 21:00;0,8;28;16,9;15;0,8;3;3,7;0,5;12,3
1/01/2023 22:00;0,2;158;20,8;9;0,2;1,8;1,9;0,5;12,6
1/01/2023 23:00;0,4;127;15,4;6;0,5;3,5;4;0,5;10,6
2/01/2023 0:00;0,4;133;19,1;13;0;0;0;0,5;11,7
2/01/2023 1:00;0,6;200;15,4;11;0,3;3,5;3,8;0,5;8,5
2/01/2023 2:00;1,4;29;12,2;10;0,3;1,2;1,5;0,4;8,6
2/01/2023 3:00;0,3;57;13,6;9;0;0;0;0,3;10,3
2/01/2023 4:00;1,1;53;10,3;8;0;0;0;0,3;8,9
2/01/2023 5:00;0,9;51;9;9;0;0;0;0,3;10,1
2/01/2023 6:00;1,4;27;10;8;2,9;2,5;5,4;0,5;5,4
2/01/2023 7:00;1,8;50;9;9;6,6;3,7;10,3;0,6;2,3
2/01/2023 8:00;1,4;34;9;9;10,8;3,1;13,9;0,7;4,7
2/01/2023 9:00;0,5;20;14;14;9,3;1,9;11,3;0,7;10,8
2/01/2023 10:00;0,8;315;16,8;10;0;0;0;0,5;18
2/01/2023 11:00;1,3;170;17,7;10;0;0;0;0,5;27,4
2/01/2023 12:00;1,8;277;16,8;9;4,8;2,3;7;0;0
2/01/2023 13:00;1,8;284;13;13;3,1;0;2,9;0,4;41
2/01/2023 14:00;4,3;269;29,5;12;3,5;1,5;5;0,5;32,6
